user_input,retrieved_contexts,response,faithfulness,answer_relevancy,llm_context_precision_without_reference
Какие юридические лица могут быть Заказчиками в зависимости от места государственной регистрации Исполнителя?,"['1.15. Инструкции — информация, размещаемая Заказчиком через Портал в различном виде, содержащая\nправила, указания или руководства, устанавливающие порядок и способ оказания Услуг, использования Портала.\nИнструкции являются обязательными для ознакомления и соблюдения Исполнителем и иными лицами,\nпривлеченными Исполнителем для оказания Услуг в ПВЗ.\n1.16. Исполнитель — коммерческая организация, или индивидуальный предприниматель, или иное лицо, в\nзависимости от места государственной регистрации Исполнителя, заключившие Договор на условиях Оферты об\nоказании услуг в ПВЗ.\n1.17.', '1.16. Исполнитель — коммерческая организация, или индивидуальный предприниматель, или иное лицо, в\nзависимости от места государственной регистрации Исполнителя, заключившие Договор на условиях Оферты об\nоказании услуг в ПВЗ.\n1.17.', '17.4. Права и обязанности Заказчика в полном объеме или в части, включая уступку только прав по Оферте,\nмогут быть переданы и/или уступлены Заказчиком любому лицу из Группы компаний Вайлдберриз. Требования\nЗаказчика к Исполнителю по Оферте, в том числе требования об уплате неустоек и возмещении убытков, могут быть\nуступлены Заказчиком третьим лицам без получения предварительного согласия Исполнителя. Исполнитель\nпризнается выразившим согласие на такую передачу с момента совершения им действий, свидетельствующих о\nсогласии с настоящим условием. Права и обязанности по Оферте переходят к третьему лицу с момента\nуведомления Исполнителя о состоявшемся переходе или истечения срока, указанного в таком уведомлении, путем\nопубликования соответствующего сообщения на Портале. Права и обязанности Заказчика переходят к такому\nтретьему лицу в полном объеме и в том составе, в котором они существуют на момент перехода.\n17.5. К отношениям сторон по настоящему Договору применяется право государства — места регистрации\nЗаказчика, за исключением случаев, прямо предусмотренных Договором.', 'Общество с ограниченной ответственностью «РВБ» (ОГРН 1247700471919, ИНН 9714053621),\nзарегистрированное и действующее по законодательству Российской Федерации, адрес юридического лица: 142181,\nМосковская область, г.о. Подольск, д. Коледино, тер. Индустриальный Парк Коледино, д. 6, строение 1 — если\nИсполнитель по месту государственной регистрации находится на территории Российской Федерации;\n1.13.2. Товарищество с ограниченной ответственностью «ИМВБКЗ» (БИН 220240020422), зарегистрированное и\nдействующее по законодательству Республики Казахстан, адрес юридического лица: 050040, РК, г. Алматы,\nБостандыкский район, проспект Аль-Фараби 77/8, 3 этаж, офис 3В – если Исполнитель по месту государственной\nрегистрации находится на территории Республики Казахстан;\n1.13.3. Общество с ограниченной ответственностью «ИМВБАМ» (ИНН 02899159), зарегистрированное и\nдействующее по законодательству Республики Армения, адрес юридического лица: Республика Армения, г. Ереван,\nЦентр, ул. А. Манукяна, д. 17, стр.', 'А. Манукяна, д. 17, стр. 41 – если Исполнитель по месту государственной регистрации находится на\nтерритории Республики Армения;\n1.13.4. Общество с ограниченной ответственностью «ИМВБРБ» (ИНН 193630204), зарегистрированное и\nдействующее по законодательству Республики Беларусь, адрес юридического лица: Республика Беларусь, 220036, г.\nМинск, ул. Грушевская, д. 21, пом. 217 — если Исполнитель по месту государственной регистрации находится на\nтерритории Республики Беларусь;\n1.13.5. Общество с ограниченной ответственностью «ВБ КейДжи» (ИНН 01506202210353), зарегистрированное и\nдействующее по законодательству Республики Кыргызстан, адрес юридического лица: Кыргызская Республика, г.\nБишкек, Первомайский район, ул. Табалдиева, д. 45, 2-Этаж 2 Офис – если Исполнитель по месту государственной\nрегистрации находится на территории Республики Кыргызстан;\n1.13.6.', 'А. Манукяна, д. 17, стр. 41 – если Исполнитель по месту государственной регистрации находится на\nтерритории Республики Армения;\n1.13.4. Общество с ограниченной ответственностью «ИМВБРБ» (ИНН 193630204), зарегистрированное и\nдействующее по законодательству Республики Беларусь, адрес юридического лица: Республика Беларусь, 220036, г.\nМинск, ул. Грушевская, д. 21, пом. 217 — если Исполнитель по месту государственной регистрации находится на\nтерритории Республики Беларусь;\n1.13.5.', 'направляются по адресу\nместа нахождения Стороны-получателя: для Заказчика — указанному в ЕГРЮЛ, а для Исполнителя — по адресу,\nуказанному на Портале или по месту нахождения ПВЗ;\n• на адрес электронной почты Исполнителя,', '8.9. Стороны пришли к соглашению, что в целях исполнения обязательств Исполнителя, зарегистрированного на\nтерритории Российской Федерации, перед Заказчиком в рамках настоящего Договора, в том числе, но не\nограничиваясь в целях погашения любой задолженности по Договору,', 'А. Манукяна, д. 17, стр. 41 – если Исполнитель по месту государственной регистрации находится на\nтерритории Республики Армения;\n1.13.4.', 'Махтумкули, д. 1, БЦ «Kayan» – если Исполнитель по\nместу государственной регистрации находится на территории Республики Узбекистан.\n1.14.']","Ответ: Заказчиками могут быть следующие юридические лица в зависимости от места государственной регистрации Исполнителя:

- Общество с ограниченной ответственностью «РВБ» (ОГРН 1247700471919, ИНН 9714053621), зарегистрированное и действующее по законодательству Российской Федерации, адрес юридического лица: 142181, Московская область, г.о. Подольск, д. Коледино, тер. Индустриальный Парк Коледино, д. 6, строение 1 — если Исполнитель по месту государственной регистрации находится на территории Российской Федерации;
- Товарищество с ограниченной ответственностью «ИМВБКЗ» (БИН 220240020422), зарегистрированное и действующее по законодательству Республики Казахстан, адрес юридического лица: 050040, РК, г. Алматы, Бостандыкский район, проспект Аль-Фараби 77/8, 3 этаж, офис 3В – если Исполнитель по месту государственной регистрации находится на территории Республики Казахстан;
- Общество с ограниченной ответственностью «ИМВБАМ» (ИНН 02899159), зарегистрированное и действующее по законодательству Республики Армения, адрес юридического лица: Республика Армения, г. Ереван, Центр, ул. А. Манукяна, д. 17, стр. 41 – если Исполнитель по месту государственной регистрации находится на территории Республики Армения;
- Общество с ограниченной ответственностью «ИМВБРБ» (ИНН 193630204), зарегистрированное и действующее по законодательству Республики Беларусь, адрес юридического лица: Республика Беларусь, 220036, г. Минск, ул. Грушевская, д. 21, пом. 217 — если Исполнитель по месту государственной регистрации находится на территории Республики Беларусь;
- Общество с ограниченной ответственностью «ВБ КейДжи» (ИНН 01506202210353), зарегистрированное и действующее по законодательству Республики Кыргызстан, адрес юридического лица: Кыргызская Республика, г. Бишкек, Первомайский район, ул. Табалдиева, д. 45, 2-Этаж 2 Офис – если Исполнитель по месту государственной регистрации находится на территории Республики Кыргызстан;
- Общество с ограниченной ответственностью «ИМВБАМ» (ИНН 02899159), зарегистрированное и действующее по законодательству Республики Армения, адрес юридического лица: Республика Армения, г. Ереван, Центр, ул. А. Манукяна, д. 17, стр. 41 – если Исполнитель по месту государственной регистрации находится на территории Республики Армении;
- Общество с ограниченной ответственностью «ИМВБРБ» (ИНН 193630204), зарегистрированное и действующее по законодательству Республики Беларусь, адрес юридического лица: Республика Беларусь, 220036, г. Минск, ул. Грушевская, д. 21, пом. 217 — если Исполнитель по месту государственной регистрации находится на территории Республики Беларусь;
- Общество с ограниченной ответственностью «ВБ КейДжи» (ИНН 01506202210353), зарегистрированное и действующее по законодательству Республики Кыргызстан, адрес юридического лица: Кыргызская Республика,",1.0,0.9700363199624061,
Какие факторы учитываются при определении Рейтинга ПВЗ Исполнителя?,"['1.38. Рейтинг ПВЗ Исполнителя — единица оценки ПВЗ Исполнителя и качества оказываемых им Услуг в ПВЗ,\nопределяемая на основании анализа 150 (ста пятидесяти) последних уникальных отзывов и оценок Клиентов о ПВЗ\nна Торговой площадке, включая, но не ограничиваясь, в отношении: состояния ПВЗ, качества обслуживания\nКлиентов, а также иных факторов, влияющих на качество оказания Услуг Исполнителем.\n1.39. Склад — помещение Заказчика или лица, привлеченного Заказчиком, в котором осуществляется хранение,\nобработка и упаковка Товаров.', '1.38. Рейтинг ПВЗ Исполнителя — единица оценки ПВЗ Исполнителя и качества оказываемых им Услуг в ПВЗ,\nопределяемая на основании анализа 150 (ста пятидесяти) последних уникальных отзывов и оценок Клиентов о ПВЗ\nна Торговой площадке, включая, но не ограничиваясь, в отношении: состояния ПВЗ, качества обслуживания\nКлиентов, а также иных факторов, влияющих на качество оказания Услуг Исполнителем.\n1.39. Склад — помещение Заказчика или лица, привлеченного Заказчиком, в котором осуществляется хранение,\nобработка и упаковка Товаров.\n1.40. Стоимость Товара — розничная цена, по которой Товар был или может быть заказан Клиентом на\nТорговой площадке, указанная в Поручении.\n1.41. Сторона/Стороны — отдельное/совместное упоминание Заказчика или/и Исполнителя.\n1.42. Тепловая карта — карта, доступная по ссылке https://pvz-stat-map.wildberries.ru/#2/62/56\nопределяющая возможные зоны для открытия ПВЗ, формы поддержки ПВЗ, тарифы, вознаграждение, оценку\nпредполагаемого дохода Исполнителя в ПВЗ и иные данные при указанных на карте параметрах.\n\n1.43.', '1.38. Рейтинг ПВЗ Исполнителя — единица оценки ПВЗ Исполнителя и качества оказываемых им Услуг в ПВЗ,\nопределяемая на основании анализа 150 (ста пятидесяти) последних уникальных отзывов и оценок Клиентов о ПВЗ\nна Торговой площадке, включая,', '2.2. Рейтинг ПВЗ Исполнителя\nПремия за Рейтинг ПВЗ Исполнителя рассчитывается за каждую оценку Клиента от 1 до 5 для ПВЗ Исполнителя,\nкоторая может оценивать качество оказания Услуг в ПВЗ, требования к обслуживанию Клиентов и исполнение иных\nправил оказания Услуг (далее — Оценка) по формуле:\n\nР = Стоимость Оценки * Вес Оценки / Коэффициент премирования, где Р — Премия за Рейтинг ПВЗ\nИсполнителя, выплачивается Исполнителю только в результате проставления Оценок (4 и 5).\nСтоимость Оценки — индивидуальный показатель, указанный в ЛК Исполнителя.\nВес Оценки — индивидуальный вес каждой Оценки Клиента, указанный в ЛК Исполнителя.\nКоэффициент премирования — показатель, публикуемый на Портале, означающий среднее значение Веса всех\nОценок всех ПВЗ за определенный период времени, который может быть изменен Заказчиком в одностороннем\nпорядке в случае динамики соответствующего среднего значения. Новое значение Коэффициента премирования\nприменяется для расчета с 00 часов 00 минут дня, следующего за днем, в котором новое значение было\nопубликовано на Портале.\nПремия за Рейтинг ПВЗ отражается на Балансе Исполнителя на дату выставления Оценки.', '2.2. Рейтинг ПВЗ Исполнителя\nПремия за Рейтинг ПВЗ Исполнителя рассчитывается за каждую оценку Клиента от 1 до 5 для ПВЗ Исполнителя,\nкоторая может оценивать качество оказания Услуг в ПВЗ, требования к обслуживанию Клиентов и исполнение иных\nправил оказания Услуг (далее — Оценка) по формуле:\n\nР = Стоимость Оценки * Вес Оценки / Коэффициент премирования, где Р — Премия за Рейтинг ПВЗ\nИсполнителя, выплачивается Исполнителю только в результате проставления Оценок (4 и 5).\nСтоимость Оценки — индивидуальный показатель, указанный в ЛК Исполнителя.', '2.2. Рейтинг ПВЗ Исполнителя\nПремия за Рейтинг ПВЗ Исполнителя рассчитывается за каждую оценку Клиента от 1 до 5 для ПВЗ Исполнителя,\nкоторая может оценивать качество оказания Услуг в ПВЗ,', 'При определении Базового или Дифференцированного тарифа учитываются такие характеристики ПВЗ Исполнителя,\nкак регион и зона расположения на Тепловой карте, площадь помещения, цена аренды, количество сотрудников\nИсполнителя и размер оплаты им,', 'При определении Базового или Дифференцированного тарифа учитываются такие характеристики ПВЗ Исполнителя,\nкак регион и зона расположения на Тепловой карте, площадь помещения, цена аренды, количество сотрудников\nИсполнителя и размер оплаты им, прогнозируемый Оборот ПВЗ за 30 (тридцать) календарных дней. При изменении\nлюбой из указанных характеристик, используемых для расчета тарифа, он может измениться, что также отражается\nна Тепловой карте.', 'Если Рейтинг ПВЗ Исполнителя становится равнымили больше Минимального значения рейтинга ПВЗ,Заказчик незамедлительно прекращает БлокировкуПВЗ и направляет соответствующее уведомление вЛК.Заказчик вправе прекратить Блокировку ПВЗИсполнителя, если значение Рейтинга ПВЗИсполнителя менее Минимального значениярейтинга ПВЗ, но Исполнитель прикладывает усилиядля улучшения качества оказания Услуг по Договору,устраняет все нарушения, послужившие основаниемдля снижения Рейтинга и приведшие к БлокировкеПВЗ, а также продолжает соблюдать полностью идобросовестно Договор.Если Рейтинг ПВЗ снижался три и более раза нижеМинимального значения рейтинга ПВЗ Исполнителяв течение 1 (одного) календарного года оказанияУслуг Исполнителем с даты Активации ПВЗ попричине нарушений, послуживших основанием дляснижения Рейтинга и приведших к Блокировке ПВЗ,то прекращение применения Блокировки ПВЗ, приусловии устранения нарушений, Заказчиком неприменяется.', 'если значение Рейтинга ПВЗИсполнителя менее Минимального значениярейтинга ПВЗ, но Исполнитель прикладывает усилиядля улучшения качества оказания Услуг по Договору,устраняет все нарушения, послужившие основаниемдля снижения Рейтинга и приведшие к БлокировкеПВЗ,']","Ответ: При определении Рейтинга ПВЗ Исполнителя учитываются следующие факторы: состояние ПВЗ, качество обслуживания Клиентов, а также иные факторы, влияющие на качество оказания Услуг Исполнителем. Рейтинг определяется на основании анализа 150 последних уникальных отзывов и оценок Клиентов о ПВЗ на Торговой площадке.",1.0,1.0000000000000002,
Какие действия совершают Стороны при совершении юридически значимых действий в рамках Договора?,"['Стороны совершают\nюридически значимые действия только с использованием Портала.\n1.33. Поручение — задание Заказчика, содержащее совокупность сведений в электронной форме,\nнаправленное Исполнителю посредством Личного кабинета и содержащее в том числе сведения о наименованиях и\nколичестве Товаров, данные о Продавце, о Клиенте, заключившем договор розничной купли-продажи с Продавцом, и\nиную информацию, необходимую для выполнения Поручения Исполнителем. Указанное поручение не считается\nпоручением на обработку персональных данных.\n1.34.', 'Стороны совершают\nюридически значимые действия только с использованием Портала.\n1.33. Поручение — задание Заказчика, содержащее совокупность сведений в электронной форме,', 'Пользовательское соглашение расположено по адресу и доступно для ознакомления по ссылке и действует в части,\nне противоречащей настоящему Договору.\n1.32. Портал — интегрированная автоматизированная электронная система Заказчика, использование которой\nпроисходит на условиях простой (неисключительной) лицензии на срок действия Договора, предоставленной\nЗаказчиком Исполнителю в целях исполнения Договора, и включающая, но не ограничивающаяся веб-сервисом,\nдоступным через браузер или мобильные устройства (смартфоны, планшеты и т.д.). Стороны совершают\nюридически значимые действия только с использованием Портала.\n1.33. Поручение — задание Заказчика, содержащее совокупность сведений в электронной форме,\nнаправленное Исполнителю посредством Личного кабинета и содержащее в том числе сведения о наименованиях и\nколичестве Товаров, данные о Продавце, о Клиенте, заключившем договор розничной купли-продажи с Продавцом, и\nиную информацию, необходимую для выполнения Поручения Исполнителем. Указанное поручение не считается\nпоручением на обработку персональных данных.\n1.34.', '10.6. Договора , Стороны являются самостоятельными\nоператорами персональных данных, при этом каждая из Сторон обеспечивает конфиденциальность персональных\nданных, полученных от другой Стороны, соблюдение требований к обработке персональных данных, установленных\nЗаконодательством в области персональных данных и принятыми в его исполнение нормативными правовыми\nактами, и несет ответственность за принятие всех необходимых правовых, организационных и технических мер\nзащиты персональных данных от неправомерного или случайного доступа к ним, уничтожения, изменения,\nблокирования, копирования, распространения персональных данных, а также от иных неправомерных действий в\nотношении них\n11. Ответственность\n11.1. Стороны несут ответственность за неисполнение или ненадлежащее исполнение своих обязательств в\nсоответствии с условиями Договора и Приложениями к нему. Никакие иные меры ответственности, не\nпредусмотренные в Договоре и Приложениях к нему, не могут быть применены к отношениям Сторон.\n11.2.', '17.3 Договора, с которыми закон или Договор связывают наступление\n\nгражданско-правовых последствий для другой стороны, должны направляться только одним из следующих способов:\n• нарочным (курьерской доставкой), заказным письмом или ценным с описью вложений, направляются по адресу\nместа нахождения Стороны-получателя: для Заказчика — указанному в ЕГРЮЛ, а для Исполнителя — по адресу,\nуказанному на Портале или по месту нахождения ПВЗ;\n• на адрес электронной почты Исполнителя, указанной им при регистрации на Портале или в любом исходящем от\nИсполнителя документе или сообщении;\n• посредством Портала / Личного кабинета.\n17.2.2. Юридически значимые сообщения направляются исключительно предусмотренными Договором\nспособами. Направление сообщения иным способом не считается надлежащим, а сообщения считаются\nнедоставленными.\n17.2.3. Юридически значимые сообщения, направленные Исполнителю через Портал или на электронную\nпочту, считаются доставленными в дату отправки Заказчиком соответствующего юридически значимого сообщения.\n17.2.4.', '4.2. Каждая из Сторон вправе исполнять условия Договора как самостоятельно, так и с привлечением любых\nтретьих лиц, отвечая при этом перед другой Стороной за действия привлеченных третьих лиц, как за свои\nсобственные.\n5.', '16.5. Заказчик рассматривает заявку Исполнителя в течение 30 (тридцати) календарных дней и проверяет\nпредоставленные данные о новом Исполнителе, а также проверяет наличие задолженности Исполнителя и нового\nИсполнителя перед Заказчиком. Заказчик вправе отказать в согласовании заявки Исполнителя.\n17. Заключительные положения\n17.1. Отношения сторон по Договору, заключение, прекращение и исполнение Договора регулируются\nдействующим законодательством Российской Федерации.\n17.2. Направление юридически значимых сообщений:\n17.2.1. Заявления, уведомления, извещения, требования или любые иные юридически значимые сообщения, в\nтом числе составленные в соответствии с п.', '4.2. Каждая из Сторон вправе исполнять условия Договора как самостоятельно, так и с привлечением любых\nтретьих лиц, отвечая при этом перед другой Стороной за действия привлеченных третьих лиц, как за свои\nсобственные.\n5. Права и обязательства Исполнителя\nОбмен информацией между Сторонами\n5.1.', '10.6. Договора , Стороны являются самостоятельными\nоператорами персональных данных, при этом каждая из Сторон обеспечивает конфиденциальность персональных\nданных, полученных от другой Стороны, соблюдение требований к обработке персональных данных, установленных\nЗаконодательством в области персональных данных и принятыми в его исполнение нормативными правовыми\nактами, и несет ответственность за принятие всех необходимых правовых, организационных и технических мер\nзащиты персональных данных от неправомерного или случайного доступа к ним, уничтожения, изменения,\nблокирования, копирования, распространения персональных данных,', '16.5. Заказчик рассматривает заявку Исполнителя в течение 30 (тридцати) календарных дней и проверяет\nпредоставленные данные о новом Исполнителе, а также проверяет наличие задолженности Исполнителя и нового\nИсполнителя перед Заказчиком. Заказчик вправе отказать в согласовании заявки Исполнителя.\n17. Заключительные положения\n17.1. Отношения сторон по Договору, заключение, прекращение и исполнение Договора регулируются\nдействующим законодательством Российской Федерации.\n17.2. Направление юридически значимых сообщений:\n17.2.1.']",Ответ: Стороны совершают юридически значимые действия только с использованием Портала.,1.0,0.813900467480642,
"Какие документы и инструменты Исполнитель использует для оказания Услуг, включая Услугу WB Track и Услугу WB Рекламные экраны?","['1.46. Услуги – комплекс услуг, оказываемых Исполнителем по Договору в ПВЗ, неотъемлемой частью которого\nявляются такие Услуги, как приемка Товаров от Заказчика/Перевозчика/Продавца/Курьера, выдача Товара\nПолучателям, в том числе Курьерам, получение Клиентских возвратов, подготовка Товара к возврату, Услуга WB\nTrack, Услуга WB Рекламные экраны и иные услуги, для оказания которых Исполнитель использует Портал и\nдействует в соответствии с Инструкциями и иными документами Заказчика, размещенными на Портале.\n1.47. Услуга WB Track — услуга, оказываемая Исполнителем по Договору, в том числе приемка Отправлений\nWB Track от Отправителя, выдача Получателю Отправления WB Track, подготовка Отправления WB Track к отправке\nи иные действия, для которых Исполнитель использует Портал и действует в соответствии с Приложением № 5,\nИнструкциями и иными документами Заказчика, размещенными на Портале.\n1.48. Услуга WB Рекламные экраны — услуга, оказываемая Исполнителем, в соответствии с правилами и\nусловиями Приложения № 7 к Договору, заключается в предоставлении доступа Заказчику к Оборудованию для\nтрансляции Рекламных материалов Заказчиком.\n1.49.', 'в том числе Курьерам, получение Клиентских возвратов, подготовка Товара к возврату, Услуга WB\nTrack, Услуга WB Рекламные экраны и иные услуги, для оказания которых Исполнитель использует Портал и\nдействует в соответствии с Инструкциями и иными документами Заказчика, размещенными на Портале.', '1.46. Услуги – комплекс услуг, оказываемых Исполнителем по Договору в ПВЗ, неотъемлемой частью которого\nявляются такие Услуги, как приемка Товаров от Заказчика/Перевозчика/Продавца/Курьера, выдача Товара\nПолучателям, в том числе Курьерам, получение Клиентских возвратов, подготовка Товара к возврату, Услуга WB\nTrack, Услуга WB Рекламные экраны и иные услуги, для оказания которых Исполнитель использует Портал и\nдействует в соответствии с Инструкциями и иными документами Заказчика, размещенными на Портале.\n1.47.', '1.47. Услуга WB Track — услуга, оказываемая Исполнителем по Договору, в том числе приемка Отправлений\nWB Track от Отправителя, выдача Получателю Отправления WB Track, подготовка Отправления WB Track к отправке\nи иные действия, для которых Исполнитель использует Портал и действует в соответствии с Приложением № 5,\nИнструкциями и иными документами Заказчика, размещенными на Портале.\n1.48.', '1.53. Услуга WB Track – услуга, оказываемая Исполнителем по Договору, в том числе приемка Отправлений WB\nTrack от Отправителя, выдача Получателю Отправления WB Track, подготовка Отправления WB Track к отправке и\nиные действия, для которых Исполнитель использует Портал и действует в соответствии с Инструкциями и иными\nдокументами Заказчика, размещенными на Портале.\n1.55.', '1.53. Услуга WB Track – услуга, оказываемая Исполнителем по Договору, в том числе приемка Отправлений WB\nTrack от Отправителя, выдача Получателю Отправления WB Track, подготовка Отправления WB Track к отправке и\nиные действия, для которых Исполнитель использует Портал и действует в соответствии с Инструкциями и иными\nдокументами Заказчика, размещенными на Портале.\n1.55. Push-уведомление — уведомление, направляемое в личный кабинет Отправителя на Торговой площадке,\nсодержащее информацию об Отправителе, Получателе Отправления WB Track, адресе пункта назначения,\nгабаритах, характере, Объявленной ценности Отправления WB Track, стоимости доставки и иную информацию, а\nтакже содержащее модальное окно с возможностью согласиться с условиями доставки Отправления WB Track. Push-\nуведомление сохраняется в личном кабинете Отправителя до момента получения Отправления WB Track\nПолучателем или до момента истечения срока хранения Отправления WB Track в случае, если Получатель его не\nзабрал или отказался от его получения.\n1.56.', '1.47. Услуга WB Track — услуга, оказываемая Исполнителем по Договору, в том числе приемка Отправлений\nWB Track от Отправителя, выдача Получателю Отправления WB Track, подготовка Отправления WB Track к отправке\nи иные действия, для которых Исполнитель использует Портал и действует в соответствии с Приложением № 5,', 'При этом Исполнители обязаны:\nПри этом Исполнители обязаны:\n• оформлять документы, связанные с приёмкой/отправкой Товаров;\n• проставлять подписи с расшифровкой и печать (при её наличии) грузополучателя/грузоотправителя;\n• делать отметки о расхождениях (как излишек, так и недостаток), при их фактическом выявлении;\nИсполнитель не вправе принимать от Продавцов в ПВЗ Маркетплейс-короба или Маркетплейс Товары,\nнесоответствующие требуемым габаритам. Вознаграждение Исполнителя за приемку Маркетплейс Товаров, и также\nМаркетплейс-коробов с дальнейшей передачей их для доставки на Склад, рассчитывается за каждую единицу\nТовара, принятого на ПВЗ, согласно Тарифам (Приложение №1 к Договору).\n2.6. Оказание Услуги WB Track по доставке Отправлений WB Track осуществляется при условии предоставления и\nподтверждения Отправителем всей необходимой информации, указанной в п. 2.1 настоящего Приложения., в том\nчисле об Объявленной ценности Отправления WB Track.\n\n2.6.1.', 'Приложение № 5\nк Оферте об оказании услуг в ПВЗ\nУслуга WB Track\n\nПриложение № 5 содержит порядок и условия оказания Услуги WB Track, дополняет Оферту об оказании услуг в ПВЗ\nв части, необходимой для Услуги WB Track, и является обязательным для Исполнителей, оказывающих такую Услугу.\nРаздел 1. Термины и определения Оферты\n1.50. Объявленная ценность – сумма, от 1 000 (одной тысячи) до 50 000 (пятидесяти тысяч) российских\nрублей, которую сообщает Отправитель Исполнителю при оформлении Отправления, определяемая им\nсамостоятельно.\n1.51. Отправитель WB Track или Отправитель — физическое лицо, Клиент Торговой площадки, который\nпередал Исполнителю отправление WB Track для оформления доставки в соответствии с правилами и инструкциями\nи оплатил услугу WB Track.\n1.52. Отправление WB Track — вложения документарного и недокументарного характера, принимаемые в\nиндивидуальных транспортировочных упаковках и пересылаемые в одной оформленной доставке от одного Клиента/\nПолучателя к другому.\n1.53. Получатель Отправления WB Track, или Получатель, — физическое лицо, Клиент Торговой площадки,\nкоторому Отправитель направляет для получения Отправление WB Track.\n1.53.', '3.6. Исполнитель обязуется оказывать Услуги WB Track в полном объеме, согласно настоящему Приложению №5\nи Договору.\n4. Требования к обслуживанию Клиентов\n4.1.']","Ответ: Исполнитель использует Портал и действует в соответствии с Инструкциями и иными документами Заказчика, размещенными на Портале, для оказания Услуг, включая Услугу WB Track и Услугу WB Рекламные экраны.",1.0,0.6622516069134068,
